num_shells	num_filled	freq	method	energy
20	6	0.28	imsrg	220.0227228866428
20	6	0.28	mp2	219.9269929071213
20	6	1.0	hf	547.6831612575019
20	6	1.0	imsrg	543.3399155004984
20	6	1.0	mp2	543.2139362629098
20	7	0.28	hf	363.8783772502573
20	7	0.28	imsrg	359.1996642668295
20	7	0.28	mp2	359.19157584764343
20	7	1.0	hf	885.8538693608093
20	7	1.0	imsrg	880.1163036346585
20	7	1.0	mp2	879.9325185627227
