# Functional dependencies:
#
#   * (interaction, num_shells, num_filled, freq, method) -> energy
#
interaction num_shells num_filled freq method energy
normal 13 5 0.1 hf 63.531910032505955
normal 13 5 0.1 imsrg 61.815192991459945
normal 13 5 0.1 mp2 62.01985068780662
normal 13 5 0.28 hf 126.91891377246293
normal 13 5 0.28 imsrg 124.62695985095951
normal 13 5 0.28 mp2 124.76141351596118
normal 13 5 1.0 hf 311.8693642177653
normal 13 5 1.0 imsrg 309.07419961417224
normal 13 5 1.0 mp2 309.0960659716479
normal 13 6 1.0 hf 548.6881143846326
normal 13 6 1.0 imsrg 545.0729166034931
normal 13 6 1.0 mp2 545.0569899885044
normal 13 7 1.0 hf 892.082462772371
normal 13 7 1.0 imsrg 888.1363403193087
normal 13 7 1.0 mp2 887.9725418554111
normal 14 1 0.28 hf 1.141711954866618
normal 14 1 0.28 imsrg 0.9971390072521591
normal 14 1 0.28 mp2 1.0211007391492557
normal 14 1 0.5 hf 1.7997416718219983
normal 14 1 0.5 imsrg 1.6448017218276783
normal 14 1 0.5 mp2 1.6629205386691324
normal 14 1 1.0 hf 3.161908466430935
normal 14 1 1.0 imsrg 2.99385605293999
normal 14 1 1.0 mp2 3.0075077510494377
normal 14 2 0.1 hf 3.852381060840645
normal 14 2 0.1 imsrg 3.4950238575639454
normal 14 2 0.1 mp2 3.5449187302134035
normal 14 2 0.28 hf 8.019569333302407
normal 14 2 0.28 imsrg 7.573080997565052
normal 14 2 0.28 mp2 7.608218634027724
normal 14 2 0.5 hf 12.271319711275867
normal 14 2 0.5 imsrg 11.773738960245513
normal 14 2 0.5 mp2 11.804573882876875
normal 14 2 1.0 hf 20.71921476527758
normal 14 2 1.0 imsrg 20.16805124141985
normal 14 2 1.0 mp2 20.19386630008164
normal 14 3 0.1 hf 12.924756396514438
normal 14 3 0.1 imsrg 12.22079836690592
normal 14 3 0.1 mp2 12.261434545116563
normal 14 3 0.28 hf 26.550026617358377
normal 14 3 0.28 imsrg 25.629855303288647
normal 14 3 0.28 mp2 25.662982138382937
normal 14 3 0.5 hf 40.216143067933345
normal 14 3 0.5 imsrg 39.18171403016514
normal 14 3 0.5 mp2 39.213134951410645
normal 14 3 1.0 hf 66.91132151317083
normal 14 3 1.0 imsrg 65.76277941999116
normal 14 3 1.0 mp2 65.78973834835338
normal 14 4 0.1 hf 31.190172857365596
normal 14 4 0.1 imsrg 29.968475406189444
normal 14 4 0.1 mp2 30.04931294915877
normal 14 4 0.28 hf 63.53943836194596
normal 14 4 0.28 imsrg 61.97232103474589
normal 14 4 0.28 mp2 62.01350425417205
normal 14 4 1.0 hf 158.00431698424592
normal 14 4 1.0 imsrg 156.06651219532705
normal 14 4 1.0 mp2 156.08812570329187
normal 14 5 0.1 hf 63.16952917212341
normal 14 5 0.1 imsrg 61.23944841818235
normal 14 5 0.1 mp2 61.51507091599309
normal 14 5 0.28 hf 126.74857265664693
normal 14 5 0.28 imsrg 124.34520026073001
normal 14 5 0.28 mp2 124.47203004719351
normal 14 5 1.0 hf 311.8638871103354
normal 14 5 1.0 imsrg 308.9924660599597
normal 14 5 1.0 mp2 309.00066030165533
